timestamp, subcarrier01_mag, subcarrier01_ang, subcarrier02_mag, subcarrier02_ang, subcarrier03_mag, subcarrier03_ang, subcarrier04_mag, subcarrier04_ang, subcarrier05_mag, subcarrier05_ang, subcarrier06_mag, subcarrier06_ang, subcarrier07_mag, subcarrier07_ang, subcarrier08_mag, subcarrier08_ang, subcarrier09_mag, subcarrier09_ang, subcarrier10_mag, subcarrier10_ang, subcarrier11_mag, subcarrier11_ang, subcarrier12_mag, subcarrier12_ang, subcarrier13_mag, subcarrier13_ang, subcarrier14_mag, subcarrier14_ang, subcarrier15_mag, subcarrier15_ang, subcarrier16_mag, subcarrier16_ang, subcarrier17_mag, subcarrier17_ang, subcarrier18_mag, subcarrier18_ang, subcarrier19_mag, subcarrier19_ang, subcarrier20_mag, subcarrier20_ang, subcarrier21_mag, subcarrier21_ang, subcarrier22_mag, subcarrier22_ang, subcarrier23_mag, subcarrier23_ang, subcarrier24_mag, subcarrier24_ang, subcarrier25_mag, subcarrier25_ang, subcarrier26_mag, subcarrier26_ang, subcarrier27_mag, subcarrier27_ang, subcarrier28_mag, subcarrier28_ang, subcarrier29_mag, subcarrier29_ang, subcarrier30_mag, subcarrier30_ang, subcarrier31_mag, subcarrier31_ang, subcarrier32_mag, subcarrier32_ang, subcarrier33_mag, subcarrier33_ang, subcarrier34_mag, subcarrier34_ang, subcarrier35_mag, subcarrier35_ang, subcarrier36_mag, subcarrier36_ang, subcarrier37_mag, subcarrier37_ang, subcarrier38_mag, subcarrier38_ang, subcarrier39_mag, subcarrier39_ang, subcarrier40_mag, subcarrier40_ang, subcarrier41_mag, subcarrier41_ang, subcarrier42_mag, subcarrier42_ang, subcarrier43_mag, subcarrier43_ang, subcarrier44_mag, subcarrier44_ang, subcarrier45_mag, subcarrier45_ang, subcarrier46_mag, subcarrier46_ang, subcarrier47_mag, subcarrier47_ang, subcarrier48_mag, subcarrier48_ang, subcarrier49_mag, subcarrier49_ang, subcarrier50_mag, subcarrier50_ang, subcarrier51_mag, subcarrier51_ang, subcarrier52_mag, subcarrier52_ang, subcarrier53_mag, subcarrier53_ang, subcarrier54_mag, subcarrier54_ang, subcarrier55_mag, subcarrier55_ang, subcarrier56_mag, subcarrier56_ang, subcarrier57_mag, subcarrier57_ang, subcarrier58_mag, subcarrier58_ang, subcarrier59_mag, subcarrier59_ang, subcarrier60_mag, subcarrier60_ang, subcarrier61_mag, subcarrier61_ang, subcarrier62_mag, subcarrier62_ang, subcarrier63_mag, subcarrier63_ang, subcarrier64_mag, subcarrier64_ang
230.229, 97, 2, 0, 0, 0, 0, 24, 2, 22, 2, 20, 2, 19, 2, 17, 2, 14, 2, 14, 2, 12, 2, 11, 2, 10, 2, 8, 2, 7, 2, 6, 2, 0, 0, 5, 2, 5, 2, 6, 1, 6, 1, 7, 1, 8, 1, 9, 1, 11, 1, 12, 1, 12, 1, 14, 2, 17, 2, 18, 2, 0, 0, 0, 0, 97, 2, 140, -1, 126, -1, 57, 2, 128, 2, 126, -1, 57, 2, 0, 0, 32, 0, 0, 0, 3, 1, 8, 1, 31, 0, 0, 0, 31, -1, 4, 1, 4, 1, 13, 1, 121, -1, 111, 1, 32, 1, 28, 2, 30, 2, 30, 2, 31, 2, 30, 2, 32, 2, 32, 2, 30, 2, 31, 2, 1, -2, 1, -2
230.241, 97, 2, 0, 0, 0, 0, 11, -2, 11, -2, 10, -2, 10, -2, 9, -2, 9, -2, 8, -3, 7, -2, 6, -2, 5, -2, 5, 3, 5, 3, 5, 3, 0, 0, 4, 3, 4, 3, 4, 2, 4, 2, 5, 3, 5, 2, 5, 2, 6, 2, 7, 2, 7, 3, 8, 3, 9, 3, 9, 3, 0, 0, 0, 0, 1, -2, 22, -1, 24, -1, 23, -1, 25, -1, 25, -1, 25, -1, 26, -1, 26, 0, 28, 0, 26, 0, 28, 0, 26, 0, 27, 0, 27, 0, 29, 0, 28, 0, 29, 0, 30, 0, 30, 0, 32, 0, 32, 0, 30, 0, 31, 0, 30, 0, 30, 0, 31, 0, 33, 0, 33, 0, 33, 0, 1, -2, 0, 0
230.249, 97, 2, 0, 0, 0, 0, 10, 0, 10, 0, 9, 0, 8, 0, 8, 0, 6, 0, 6, 0, 6, 0, 5, 0, 4, 0, 4, 0, 3, 0, 3, 0, 0, 0, 3, 0, 3, 0, 3, 0, 4, 0, 5, 0, 5, 0, 5, 0, 6, 0, 7, 0, 7, 0, 8, 0, 9, 0, 10, 0, 0, 0, 0, 0, 1, -2, 25, 2, 27, 2, 29, 2, 29, 2, 30, 2, 31, 2, 32, 2, 33, 2, 32, 2, 33, 2, 33, 2, 35, 3, 35, 3, 36, -3, 35, -2, 36, -2, 38, -2, 38, -2, 38, -2, 39, -2, 38, -2, 39, -2, 40, -2, 42, -2, 42, -2, 40, -2, 39, -2, 42, -2, 40, -2, 1, -2, 0, 0
230.273, 97, 2, 0, 0, 0, 0, 9, 0, 8, 0, 7, 0, 7, 0, 6, 0, 5, 0, 5, 0, 4, 0, 4, 0, 4, 0, 3, 0, 3, 0, 3, 0, 0, 0, 4, -1, 4, -1, 5, -1, 5, -1, 5, -1, 6, -1, 7, 0, 7, 0, 7, 0, 9, 0, 9, 0, 10, 0, 11, 0, 0, 0, 0, 0, 1, -2, 24, 1, 28, 1, 26, 1, 27, 1, 29, 1, 29, 1, 30, 1, 31, 1, 31, 1, 30, 1, 31, 1, 32, 1, 32, 2, 32, 2, 33, 2, 33, 2, 33, 2, 34, 2, 35, 2, 37, 2, 37, 2, 36, 2, 39, 2, 39, 2, 39, 2, 38, 2, 38, 2, 38, 2, 39, 2, 0, 0, 1, -2
230.344, 97, 2, 0, 0, 0, 0, 9, 1, 8, 1, 8, 1, 7, 1, 6, 1, 5, 1, 5, 1, 4, 1, 3, 1, 3, 1, 2, 1, 1, 0, 1, 0, 0, 0, 2, 0, 2, 0, 3, 0, 3, 0, 4, 0, 5, 0, 5, 0, 5, 0, 6, 0, 6, 0, 7, 0, 8, 0, 8, 0, 0, 0, 0, 0, 1, -2, 22, 2, 24, 2, 25, 2, 25, 2, 26, 2, 27, 2, 27, 2, 30, 2, 29, 2, 29, 2, 30, 3, 32, 3, 31, -3, 31, -3, 32, -2, 33, -2, 34, -2, 33, -2, 35, -2, 36, -2, 35, -2, 36, -2, 36, -2, 38, -2, 37, -2, 37, -2, 38, -2, 39, -2, 39, -2, 0, 0, 1, -2
230.366, 97, 2, 0, 0, 0, 0, 11, 2, 11, 3, 9, 2, 9, 2, 8, 2, 7, 2, 5, 2, 6, 2, 4, 2, 3, 2, 3, 2, 2, 2, 2, 2, 0, 0, 3, 1, 3, 1, 3, 1, 4, 1, 4, 1, 5, 1, 6, 1, 6, 1, 7, 1, 7, 1, 8, 1, 9, 1, 10, 2, 0, 0, 0, 0, 1, -2, 25, -2, 27, -2, 28, -2, 29, -2, 29, -2, 30, -2, 30, -2, 32, -2, 33, -2, 31, -1, 33, -1, 34, -1, 33, -1, 34, -1, 35, -1, 33, -1, 35, -1, 36, -1, 37, -1, 38, -1, 38, -1, 38, -1, 39, -1, 40, 0, 39, 0, 39, 0, 39, 0, 39, 0, 39, 0, 0, 0, 1, -2
230.377, 97, 2, 0, 0, 0, 0, 11, 0, 10, 0, 10, 0, 9, 0, 8, 0, 8, 0, 7, 0, 6, 0, 6, 0, 5, 0, 4, 0, 4, 0, 4, 0, 0, 0, 3, 0, 4, 0, 5, 0, 4, 0, 5, 0, 5, 0, 5, 0, 6, 0, 7, 0, 7, 0, 8, 0, 9, 0, 9, 0, 0, 0, 0, 0, 1, -2, 23, 1, 25, 1, 25, 1, 26, 1, 27, 2, 27, 2, 28, 2, 30, 2, 30, 2, 29, 2, 30, 2, 31, 2, 30, 2, 31, 2, 32, 2, 33, 2, 34, 3, 35, 3, 35, -3, 36, -2, 36, -2, 36, -2, 37, -2, 39, -2, 38, -2, 38, -2, 38, -2, 40, -2, 38, -2, 1, -2, 0, 0
230.382, 97, 2, 0, 0, 0, 0, 12, 0, 11, -1, 10, -1, 9, -1, 8, -1, 8, -1, 7, -1, 6, -1, 5, -1, 6, -1, 5, -1, 4, -1, 5, -1, 0, 0, 4, -1, 5, -1, 5, -1, 5, -1, 5, -1, 6, -1, 6, -1, 7, -1, 7, -1, 8, -1, 9, -1, 10, -1, 9, -1, 0, 0, 0, 0, 1, -2, 24, 0, 25, 0, 25, 0, 25, 0, 26, 0, 26, 0, 27, 0, 28, 1, 29, 1, 28, 1, 30, 1, 31, 1, 31, 1, 31, 1, 32, 1, 32, 1, 33, 1, 34, 2, 34, 2, 36, 2, 36, 2, 36, 2, 37, 2, 37, 2, 38, 2, 37, 2, 39, 2, 38, 2, 39, 2, 0, 0, 1, -2
230.396, 97, 2, 0, 0, 0, 0, 12, 1, 12, 1, 11, 1, 10, 1, 9, 1, 8, 1, 8, 1, 7, 1, 6, 1, 5, 1, 6, 1, 4, 1, 4, 1, 0, 0, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 5, 1, 6, 1, 6, 1, 7, 1, 7, 1, 8, 1, 9, 1, 9, 1, 0, 0, 0, 0, 1, -2, 23, -3, 23, -2, 25, -2, 27, -2, 27, -2, 27, -2, 28, -2, 29, -2, 29, -2, 28, -2, 30, -2, 30, -1, 29, -1, 30, -1, 31, -1, 31, -1, 30, -1, 33, -1, 34, -1, 35, -1, 32, -1, 34, -1, 36, 0, 37, 0, 38, 0, 36, 0, 36, 0, 36, 0, 35, 0, 1, -2, 1, -2
230.403, 97, 2, 0, 0, 0, 0, 14, -2, 14, -2, 12, -2, 11, -2, 10, -2, 9, -2, 9, -2, 7, -2, 7, -2, 7, -2, 5, -2, 5, -2, 5, -2, 0, 0, 4, -2, 4, -2, 4, -2, 5, -2, 4, -2, 5, -2, 5, -2, 7, -2, 7, -2, 7, -2, 8, -2, 8, -2, 9, -2, 0, 0, 0, 0, 1, -1, 23, 0, 24, 0, 24, 0, 24, 0, 25, 0, 27, 0, 27, 0, 29, 0, 29, 0, 27, 0, 29, 0, 30, 0, 30, 0, 31, 0, 31, 0, 32, 0, 30, 0, 33, 0, 33, 0, 33, 0, 34, 0, 35, 0, 35, 0, 37, 1, 38, 1, 37, 1, 36, 1, 37, 1, 37, 1, 0, 0, 1, 3
